title	keyword	ASTEXT(locations.geometry)
みんなの広場：高価なランドセルに疑問＝主婦・山田晶子・６５	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：９条守るため、権力に「ノー」＝主婦・黒田美智子・６８	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：Ｇ７首脳の被爆地訪問実現を＝無職・森隆政・６４	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：ＮＨＫ　政権の広報番組か＝無職・上田健・７３	みんなの広場	POINT(35.7180015 139.8040868)
みんなの広場：アフリカでホームステイ経験＝中学生・高橋英資・１４	アフリカ	POINT(-8.783195 34.508523)
みんなの広場：原発再稼働、反対訴え続ける＝会社員・浜尾幸一・６７	原発	POINT(45.78579 130.02623)
アウディ　大阪府に３店舗	アウディ 大阪府	POINT(34.4117689 135.3003949)
アジア——変わるインバウンド消費、北朝鮮、大気圏内核実験の危惧（電子版ＳＥＬＥＣＴ）	アジア	POINT(34.047863 100.6196553)
カナダ保険マニュライフ、アジア中間層開拓、銀行と窓販契約拡大。	アジア	POINT(34.047863 100.6196553)
スポーツ、アジア、テクノロジー、マネー・ライフ（日経電子版から）	アジア	POINT(34.047863 100.6196553)
マネー・ライフ、テクノロジー、アジア、マネー・ライフ（日経電子版から）	アジア	POINT(34.047863 100.6196553)
マーベラス、中古「ポケモン」アジアへ輸出。	アジア	POINT(34.047863 100.6196553)
アパートで火災、２遺体見つかる　千葉・船橋	アパート	POINT(47.7014524 -122.1765578)
アルゼンチン、国債発行へ　１５年ぶり、米ファンドとの係争にめど	アルゼンチン	POINT(-38.416097 -63.616672)
アンコール王朝、栄華伝える彫像、１１６件紹介（アートライフ）	彫像	POINT(51.5046597 -0.1873446)
