title	keyword	ASTEXT(locations.geometry)
【地元ネタファイル】宮城　多賀城に全国３カ所目のツタヤ図書館	宮城 多賀城	POINT(38.2938392 141.0042249)
【地元ネタファイル】宮城　多賀城に全国３カ所目のツタヤ図書館	ツタヤ図書館	POINT(38.2920215 141.0049098)
【地元ネタファイル】山梨　芝に寝転び、甲府盆地を一望	甲府	POINT(35.66228 138.5682015)
【Ｊ１リーグ】第１Ｓ第７節（１６日）大宮１−１甲府	甲府	POINT(35.66228 138.5682015)
サッカー：Ｊ１第１ステージ　大宮１−１甲府	甲府	POINT(35.66228 138.5682015)
【地元ネタファイル】山梨　芝に寝転び、甲府盆地を一望	盆地	POINT(-0.2877446 16.1580937)
【地元ネタファイル】広島　酒どころ西条で「ほろよい散歩セット」	西条	POINT(33.9195105 133.1811697)
【地元ネタファイル】広島　酒どころ西条で「ほろよい散歩セット」	広島 酒どころ	POINT(34.3967214 132.4465009)
【地元ネタファイル】滋賀　琵琶湖の花火、ホテル屋上で鑑賞	滋賀 琵琶湖	POINT(35.3456394 136.1709012)
【地元ネタファイル】滋賀　琵琶湖の花火、ホテル屋上で鑑賞	屋上	POINT(35.7285729 139.7117442)
【外信コラム】ソウルからヨボセヨ　太陽節の贈り物	ソウル	POINT(37.566535 126.9779692)
【緯度経度】ソウル・黒田勝弘　「日韓非核同盟」なんて…夢？	ソウル	POINT(37.566535 126.9779692)
前ソウル支局長　韓国紙「訴訟費の一切請求」　実際は一部のみ	ソウル	POINT(37.566535 126.9779692)
【外信コラム】台湾有情　台北の「バスタ」	バスタ	POINT(35.6885493 139.7006615)
【外信コラム】台湾有情　台北の「バスタ」	台北	POINT(25.0329694 121.5654177)
【大人の遠足】千葉・栄町「房総のむら」　日本の伝統文化、気軽に体験	千葉	POINT(35.6050574 140.1233063)
交差点で車衝突、小５の男児死亡、千葉。	千葉	POINT(35.6050574 140.1233063)
【手帖】神社の魅力を図解	神社	POINT(35.694136 139.743849)
【旬のおでかけ】宮崎県高千穂町　新緑に彩られた神話の里	高千穂町	POINT(32.71169 131.3077866)
【旬のおでかけ】宮崎県高千穂町　新緑に彩られた神話の里	宮崎県	POINT(31.9110956 131.4238934)
【書評】『ベイリィさんのみゆき画廊　銀座をみつめた５０年』	みゆき画廊 銀座	POINT(35.6715827 139.7619297)
【書評】『中東複合危機から第三次世界大戦へ　イスラームの悲劇』	中東	POINT(29.2985278 42.5509603)
【東京おでかけ日和】駒込駅前にピンクのポスト　ソメイヨシノのふるさと	ソメイヨシノ	POINT(35.171534 136.947675)
【東京おでかけ日和】駒込駅前にピンクのポスト　ソメイヨシノのふるさと	駒込駅前	POINT(35.7365665 139.7470098)
【熊本地震】トヨタ、工場の大半停止　国内、きょうから段階的に	工場	POINT(39.9845787 116.3141988)
【熊本地震】ホンダ、トヨタなど工場停止　「復旧まで時間かかる」	工場	POINT(39.9845787 116.3141988)
マツダ本社工場で生産、北米向けＣＸ−９公開　「モノ造り革新」磨く円高耐性	工場	POINT(39.9845787 116.3141988)
【熊本地震】余震やまず車中泊　「眠れない」避難所も満杯	中泊	POINT(40.9651786 140.4398395)
クローズアップ２０１６：熊本地震　屋内恐れ車中泊　想定外の駐車場不足	中泊	POINT(40.9651786 140.4398395)
【熊本地震】余震怖い、帰れない　避難所、足の踏み場なし	避難所	POINT(42.70655 0.90096)
【熊本地震】倒壊多数、耐震化遅れ　九州「地震なかった」	九州	POINT(32.6453356 130.958688)
九州、震度６相次ぐ——南海トラフとの関連、見方分かれる。	九州	POINT(32.6453356 130.958688)
九州、震度６相次ぐ——断層の巣、地震連鎖、震源域３つ「前例ない」。	九州	POINT(32.6453356 130.958688)
