岩田は最終ラウンドに進めず　米男子ゴルフ	2016/4/18	産経新聞 東京本社版	167 語
熊本地震１１万人避難　南阿蘇１１人安否不明　死者４２人に	2016/4/18	産経新聞 東京本社版	729 語
レッズ敗れる　五郎丸、後半途中出場　スーパーラグビー	2016/4/18	産経新聞 東京本社版	158 語
【選挙】１７日　静岡・伊豆市長　菊地豊氏が３選	2016/4/18	産経新聞 東京本社版	61 語
【熊本地震】余震怖い、帰れない　避難所、足の踏み場なし	2016/4/18	産経新聞 東京本社版	778 語
目黒区長に青木氏４選「安心安全な街をつくる」	2016/4/18	産経新聞 東京本社版	478 語
【熊本地震】倒壊多数、耐震化遅れ　九州「地震なかった」	2016/4/18	産経新聞 東京本社版	1006 語
熊本地震で前日中止　ソフトバンク戦開催　プロ野球	2016/4/18	産経新聞 東京本社版	279 語
【熊本地震】オスプレイ初投入へ　米軍、被災地に物資輸送	2016/4/18	産経新聞 東京本社版	686 語
山部、２年ぶり３度目の優勝　柔道全日本女子選手権	2016/4/18	産経新聞 東京本社版	620 語
【熊本地震】消えた家、夫どこに　土砂崩れ、懸命の捜索	2016/4/18	産経新聞 東京本社版	857 語
ブラジル大統領、窮地　「弾劾」上下院とも賛成派優勢　月内に職務停止も	2016/4/18	産経新聞 東京本社版	856 語
北海道５区　震災…手探りの衆院補選	2016/4/18	産経新聞 東京本社版	1285 語
歴博で「万年筆の生活誌　筆記の近代」展　伝統の職人技、国産化後押し	2016/4/18	産経新聞 東京本社版	1025 語
【ふりさけみれば　−昭和天皇の８７年】（３１８）川瀬弘至	2016/4/18	産経新聞 東京本社版	1022 語
【科学】肝臓がん、再発や転移に差　理研などのチーム、遺伝子変異で６分類	2016/4/18	産経新聞 東京本社版	425 語
「がん患者さんが歌う春の第九合唱団」団員を募集	2016/4/18	産経新聞 東京本社版	324 語
【編集日誌】不測の危機に備える	2016/4/18	産経新聞 東京本社版	351 語
【熊本地震】ＴＶ報道、特別態勢　ネット番組、無料配信も	2016/4/18	産経新聞 東京本社版	682 語
【視線】しらける民進党の立憲主義　論説委員兼政治部編集委員・阿比留瑠比	2016/4/18	産経新聞 東京本社版	1352 語
【第８７期棋聖戦】本戦１回戦　第５局第２譜	2016/4/18	産経新聞 東京本社版	569 語
米、日本に財政出動要請　財務長官声明　為替市場の認識にズレ	2016/4/18	産経新聞 東京本社版	570 語
【日本よ　ふたたび】石原慎太郎　横綱の張り手	2016/4/18	産経新聞 東京本社版	1156 語
【フジサンケイグループ広告大賞】（４）住友生命保険	2016/4/18	産経新聞 東京本社版	569 語
【正論】異性愛の社会的価値を維持せよ　麗澤大学教授・八木秀次	2016/4/18	産経新聞 東京本社版	1823 語
【環球異見】「パナマ文書」流出	2016/4/18	産経新聞 東京本社版	2338 語
【科学】Ｘ線天文学に暗雲　衛星ひとみ、厳しい復旧　「日本のお家芸」に危機	2016/4/18	産経新聞 東京本社版	1547 語
フィリピン留学　英語力向上へ安く効果大	2016/4/18	産経新聞 東京本社版	1166 語
【主張】日露外相会談　これが「前向き」な議論か	2016/4/18	産経新聞 東京本社版	856 語
【第５４期森ビル杯　十段戦】五番勝負　第２局第１０譜	2016/4/18	産経新聞 東京本社版	467 語
【科学】巨大ブラックホール、予想外の場所で発見	2016/4/18	産経新聞 東京本社版	330 語
【天皇、皇后両陛下ご動静】１７日　日曜	2016/4/18	産経新聞 東京本社版	131 語
【朝の詩】長靴の花器	2016/4/18	産経新聞 東京本社版	107 語
多様化するタクシーサービス　墓参り付き添い、塾の送迎も	2016/4/18	産経新聞 東京本社版	1106 語
