農作業で高齢者元気に？　医療費２〜３割少なく　早大調査 	2016/4/15	朝刊	５総合
（教えて！１億総活躍社会：６）女性の就労拡大阻む壁、対策は？ 	2016/4/15	朝刊	５総合
講座・講演　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜３面
（私の描くグッとムービー）牧野千穂さん「ロスト・チルドレン」 	2016/4/15	夕刊	夕刊ｂｅ金曜３面
イベント　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜３面
催し・施設・ご招待　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜３面
映画　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜３面
（けいざい＋）東芝の迷宮：５　内部通報、開けたパンドラの箱 	2016/4/15	朝刊	１経済
ＡＤＢ駐中国トップ、ＡＩＩＢへ 	2016/4/15	朝刊	１経済
「導入しなければより市場悪い」　日銀黒田総裁、マイナス金利巡り 	2016/4/15	朝刊	１経済
東証、５００円超上げ　中国統計好感、３日続伸計１１５９円 	2016/4/15	朝刊	１経済
首都圏マンション、減少続く 	2016/4/15	朝刊	１経済
大塚家具、父娘の訴訟終結へ 	2016/4/15	朝刊	１経済
全農、「多収穫米」を強化 	2016/4/15	朝刊	１経済
アルゼンチン、国債発行へ　１５年ぶり、米ファンドとの係争にめど 	2016/4/15	朝刊	１経済
東京マーケット（１４日） 	2016/4/15	朝刊	１経済
（大竹しのぶ　まあいいか：１１９）恐るべし、ミっちゃん 	2016/4/15	夕刊	夕刊ｂｅ金曜２面
（人生の贈りもの）わたしの半生　ジャーナリスト・評論家、立花隆：１０　７５歳 	2016/4/15	夕刊	夕刊ｂｅ金曜２面
（ｓｉｐｐｏのつぶやき）しずく　横浜市　シーズー　♂　３歳 	2016/4/15	夕刊	夕刊ｂｅ金曜２面
舞台　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜４面
（時どき街まち）１９５６年　大田区南千束　畳を干して大掃除 	2016/4/15	夕刊	夕刊ｂｅ金曜４面
音楽　マリオン 	2016/4/15	夕刊	夕刊ｂｅ金曜４面
新社長に水永政志氏　スター・マイカ 	2016/4/15	朝刊	２経済
家庭向けの電気、契約目標４０万件　東京ガス、今年度に 	2016/4/15	朝刊	２経済
（商品ファイル）夏向けメッシュでクールに　トリンプの女性用肌着 	2016/4/15	朝刊	２経済
カリスマ誤算、王国崩壊　セブン鈴木会長、漏れた首脳人事案 	2016/4/15	朝刊	２経済
新社長に岩田弘三氏　ロック・フィールド 	2016/4/15	朝刊	２経済
（商品ファイル）ポカリ、初めてゼリーに　大塚製薬 	2016/4/15	朝刊	２経済
ロボット片手に「もしもし」　歩く・話す・踊る　シャープ、２１万円で 	2016/4/15	朝刊	２経済
（商品ファイル）しゅわっと、お口さわやかに　明治ののどあめ 	2016/4/15	朝刊	２経済
ＬＣＣ、ようやく軌道に　認知度↑・訪日客↑ 	2016/4/15	朝刊	２経済
新社長、井阪氏に固まる　セブン＆アイＨＤ 	2016/4/15	朝刊	２経済
坂下俊男さん死去 	2016/4/15	朝刊	２経済
（しつもん！ドラえもん：２２２３）とけい編　こたえ 	2016/4/15	朝刊	２経済
決算・人事など 	2016/4/15	朝刊	２経済
被害確認、急ぐ企業　従業員避難の工場も　熊本で地震 	2016/4/15	朝刊	２経済
競馬・阪神１１　アンタレスＳ 	2016/4/15	夕刊	スポーツ１
