プロ野球：楽天・オコエ、２軍降格	2016/4/15	東京朝刊	18頁	運動面
リオ五輪：サッカー男子　日本Ｂ組、強豪ぞろい　ナイジェリア・コロンビア・スウェーデン	2016/4/15	東京朝刊	16頁	運動面
米大リーグ：マーリンズ・イチロー初先発	2016/4/15	東京朝刊	18頁	運動面
国民生活センター：業務、試験的移転	2016/4/15	東京朝刊	25頁	総合面
東都大学野球：春季リーグ　国学大１６安打	2016/4/15	東京朝刊	18頁	運動面
在日米軍再編：北部訓練場工事、反対派を指導へ　沖縄県	2016/4/15	東京朝刊	2頁	二面
社会人野球：ＪＡＢＡ岡山大会　１４日	2016/4/15	東京朝刊	18頁	運動面
いっしょに読もう！新聞コンクール：応募受け付け	2016/4/15	東京朝刊	25頁	総合面
リオ五輪：サッカー男子　日本Ｂ組、強豪ぞろい　日本、コロンビア、スウェーデン監督の話	2016/4/15	東京朝刊	16頁	運動面
リオ五輪：競泳　金藤が主将　日本女子初	2016/4/15	東京朝刊	18頁	運動面
リオ五輪：サッカー男子　日本Ｂ組、強豪ぞろい　ナイジェリア・シアシア監督の話	2016/4/15	東京朝刊	16頁	運動面
バスケットボール：ＮＢＡ　ウォリアーズ、最多記録７３勝	2016/4/15	東京朝刊	18頁	運動面
サッカー：なでしこ新監督、「４月中に議論」	2016/4/15	東京朝刊	16頁	運動面
バスケットボール：ＮＢＬ　１４日	2016/4/15	東京朝刊	18頁	運動面
日本サッカー協会：各種委員決まる	2016/4/15	東京朝刊	16頁	運動面
サッカー：欧州ＣＬ　準々決勝第２戦　１３日	2016/4/15	東京朝刊	16頁	運動面
競馬：皐月賞　マカヒキ３番	2016/4/15	東京朝刊	18頁	運動面
競馬：皐月賞　出走馬と枠順	2016/4/15	東京朝刊	18頁	運動面
競馬：ＪＲＡ「ＷＩＮ５（５重勝単勝式）」対象レース＝１７日	2016/4/15	東京朝刊	18頁	運動面
アントラージュ・支える人々：リオ五輪　第９部　アテネ世代からの伝言／３　米田功さん（日本体操協会理事）	2016/4/15	東京朝刊	18頁	運動面
卓球：リオ五輪アジア予選　１５歳・伊藤、女王破る	2016/4/15	東京朝刊	16頁	運動面
生乳自由化：反発強く　指定団体経由せずに補助金　自民・酪農家「需給調整できず」	2016/4/15	東京朝刊	7頁	経済面
卓球：リオ五輪アジア予選　石川、決勝敗れる	2016/4/15	東京朝刊	16頁	運動面
ラグビー：トップリーグ　サントリー監督に沢木氏	2016/4/15	東京朝刊	16頁	運動面
ゴルフ：東建ホームメイトカップ　池田１打差３位	2016/4/15	東京朝刊	18頁	運動面
クロネコヤマト：マーク原案発見	2016/4/15	東京朝刊	7頁	経済面
熊本地震：震度７　女子ゴルフ、バンテリン第１日中止	2016/4/15	東京朝刊	18頁	運動面
ゴルフ：ロッテ選手権　野村、４打差２３位	2016/4/15	東京朝刊	18頁	運動面
経済観測：あるちゃんこ屋の減収増益再建＝気仙沼ニッティング社長・御手洗瑞子	2016/4/15	東京朝刊	7頁	経済面
ＮＴＴドコモ：４年以上で割引　長期利用者向けに新料金	2016/4/15	東京朝刊	7頁	経済面
マツダ：生産ライン公開　ＣＸ—９、けん引役	2016/4/15	東京朝刊	7頁	経済面
熊本地震：震度７　「経験ない揺れ」　各地で火災、余震続く	2016/4/15	東京朝刊	27頁	社会面
社説：韓国与党敗北　日韓協調の継続を望む	2016/4/15	東京朝刊	5頁	内政面
社説：田母神容疑者　会計のずさんさに驚く	2016/4/15	東京朝刊	5頁	内政面
民進・共産：衆院選は温度差　同日なら、参院選共闘に影響も	2016/4/15	東京朝刊	5頁	内政面
中谷防衛相：北朝鮮中距離弾、配備報道に懸念	2016/4/15	東京朝刊	5頁	内政面
熊本地震：震度７　知事、自衛隊に災害派遣要請	2016/4/15	東京朝刊	27頁	社会面
熊本地震：震度７　ホンダ工場稼働停止　三菱電機、ブリヂストンも	2016/4/15	東京朝刊	6頁	経済面
東京電力：電力計工事の遅れ、８月まで続く見通し	2016/4/15	東京朝刊	7頁	経済面
セブン＆アイＨＤ：井阪社長人事承認へ　現社長が受け入れ　きょう指名委	2016/4/15	東京朝刊	6頁	経済面
熊本地震：震度７　ＤＭＡＴ派遣、厚労省が要請	2016/4/15	東京朝刊	27頁	社会面
２０１６参院選：ネットで候補選び　登録１万人、自民苦戦	2016/4/15	東京朝刊	5頁	内政面
改正地域再生法：成立　ふるさと納税、企業版　今夏、対象事業決定	2016/4/15	東京朝刊	6頁	経済面
熊本地震：震度７　災害用伝言、ダイヤル開設　ＮＴＴ西日本	2016/4/15	東京朝刊	27頁	社会面
東京ガス：電力契約４０万件目標　１６年度	2016/4/15	東京朝刊	7頁	経済面
連合：「民進と連携図る」　旧維新合流、表現格下げ	2016/4/15	東京朝刊	5頁	内政面
外為・株式：東証　終値５２９円高に	2016/4/15	東京朝刊	6頁	経済面
科学技術イノベーション総合戦略：素案　三次元地図情報蓄積	2016/4/15	東京朝刊	6頁	経済面
マンション発売戸数：２年連続減、コスト増響く　首都圏３万８０００戸　１５年度	2016/4/15	東京朝刊	7頁	経済面
東日本大震災：福島第１原発事故　首相、重いベストに「作業大変」　汚染水対策チームが表敬	2016/4/15	東京朝刊	5頁	内政面
経営評価：新指標、自治体活用目指す	2016/4/15	東京朝刊	6頁	経済面
ＪＡ全農：理事長、株式会社化を否定	2016/4/15	東京朝刊	6頁	経済面
ＧＤＰ：６００兆円へ自民が素案	2016/4/15	東京朝刊	5頁	内政面
ラガルド・ＩＭＦ専務理事：余力ある国へ景気対策訴え	2016/4/15	東京朝刊	6頁	経済面
ＴＰＰ：審議きょう再開	2016/4/15	東京朝刊	5頁	内政面
新社長：ロック・フィールド　岩田弘三氏	2016/4/15	東京朝刊	7頁	経済面
参院選：奈良選挙区　社民、民進現職推薦	2016/4/15	東京朝刊	5頁	内政面
田母神俊雄容疑者：運動員買収　リスト記載「会長指示３２０万円」　関与か	2016/4/15	東京朝刊	27頁	社会面
減税日本・おおさか維新：合流検討	2016/4/15	東京朝刊	5頁	内政面
読みトク！経済：サラリーマン１年生・なるほドリーマン君　ＴＰＰ、情報開示なぜ不十分？＝回答・秋本裕子、ワシントン清水憲司	2016/4/15	東京朝刊	6頁	経済面
新社長：スター・マイカ　水永政志氏	2016/4/15	東京朝刊	7頁	経済面
首相日々：１４日、１５日	2016/4/15	東京朝刊	5頁	内政面
オンワード樫山：ミャンマー産宝飾品ブランド展開へ	2016/4/15	東京朝刊	7頁	経済面
